image path,green_players_alive,green_ability_count,green_health_1,green_health_2,green_health_3,green_health_4,green_health_5,green_ults,red_players_alive,red_ability_count,red_health_1,red_health_2,red_health_3,red_health_4,red_health_5,red_ults,spike_countdown,green_win
output/screenshots/1718764648.6567109.png,4,0,309,28,309,309,0,0,0,0,0,0,0,0,0,0,12.0,1
output/screenshots/1718764649.3544455.png,4,0,309,28,309,309,0,0,0,0,0,0,0,0,0,0,12.5,1
output/screenshots/1718764650.0919027.png,4,1,309,28,309,309,0,0,0,0,0,0,0,0,0,0,13.0,1
output/screenshots/1718764691.518302.png,5,15,309,309,310,309,309,0,5,10,310,311,310,311,311,0,0,1
output/screenshots/1718764692.157752.png,5,14,309,309,309,309,309,0,5,10,310,311,310,311,310,0,0,1
output/screenshots/1718764692.7738712.png,5,14,309,309,309,309,309,0,5,10,310,311,310,311,310,0,0,1
output/screenshots/1718764693.53289.png,5,14,309,309,309,309,309,0,5,10,310,311,311,311,310,0,0,1
output/screenshots/1718764694.2709463.png,5,14,309,309,309,309,309,0,5,10,310,311,311,311,311,0,0,1
output/screenshots/1718764695.0862262.png,5,14,309,309,309,309,309,0,5,10,311,311,311,311,311,0,0,1
output/screenshots/1718764695.8257341.png,5,14,309,309,309,309,309,1,5,10,310,310,310,311,311,0,0,1
output/screenshots/1718764696.5714946.png,5,14,309,309,309,309,310,0,5,10,310,310,310,311,311,0,0,1
output/screenshots/1718764697.3025775.png,5,14,309,309,309,309,309,1,5,10,310,310,310,311,310,0,0,1
output/screenshots/1718764698.0418315.png,5,14,309,309,309,309,309,1,5,10,310,310,310,311,310,0,0,1
output/screenshots/1718764698.7728994.png,5,14,309,309,309,309,309,1,5,10,310,310,310,311,310,0,0,1
output/screenshots/1718764699.518383.png,5,14,309,309,309,309,309,1,5,10,310,310,310,311,310,0,0,1
output/screenshots/1718764700.2716963.png,5,14,309,309,309,309,309,1,5,10,310,310,310,311,310,0,0,1
output/screenshots/1718764701.0034554.png,5,14,309,309,309,309,309,1,5,10,310,310,310,311,310,0,0,1
output/screenshots/1718764701.8033924.png,5,14,309,309,309,309,309,0,5,10,310,311,310,310,311,0,0,1
output/screenshots/1718764702.571429.png,5,14,309,309,309,309,309,0,5,10,310,310,310,311,311,0,0,1
output/screenshots/1718764703.3123171.png,5,14,309,309,309,309,309,0,5,10,310,310,310,310,311,0,0,1
output/screenshots/1718764704.0510972.png,5,14,309,309,309,309,309,0,5,10,310,310,310,310,311,0,0,1
output/screenshots/1718764704.7823727.png,5,14,309,309,309,309,309,0,5,10,310,310,310,310,311,0,0,1
output/screenshots/1718764705.549029.png,5,14,309,309,309,309,309,0,5,10,310,310,311,311,311,0,0,1
output/screenshots/1718764706.2845678.png,5,14,309,309,309,309,309,0,5,10,310,310,311,311,311,0,0,1
output/screenshots/1718764707.0171778.png,5,14,309,309,309,309,309,0,5,10,310,310,310,311,311,0,0,1
output/screenshots/1718764707.7915084.png,5,14,309,309,309,309,309,0,5,10,310,310,310,311,311,0,0,1
output/screenshots/1718764708.5322285.png,5,14,309,309,309,309,309,0,5,10,310,310,310,311,311,0,0,1
output/screenshots/1718764709.291226.png,5,15,309,309,309,309,309,0,5,10,310,310,310,311,311,0,0,1
output/screenshots/1718764710.0274675.png,5,13,309,309,309,309,309,0,5,9,310,311,311,311,311,0,0,1
output/screenshots/1718764710.7970982.png,5,13,309,309,309,309,309,0,5,9,310,311,310,311,310,0,0,1
output/screenshots/1718764711.5211685.png,5,13,309,309,309,309,309,0,5,9,310,310,311,311,310,0,0,1
output/screenshots/1718764712.2909162.png,5,13,309,309,309,309,309,0,5,9,309,311,311,311,310,0,0,1
output/screenshots/1718764713.048763.png,5,13,309,309,309,309,309,0,5,9,310,310,311,311,311,0,0,1
